track_id,song_id,artist_id,artist_name,song_title,release,release_year,duration,artist_familiarity,artist_hotttnesss,genre,top_tags,n_words,nnz_words,l2_norm,is_test,TFIDF_correlation,query_artist,query_songs
TRNQIOS12903CCF5E4,SOKNNUH12AB018D271,ARSEC9Q1187B98912D,Colin James,These Arms Of Mine,National Steel,1997,283.97669,0.523962423072,0.44086755723,blues,blues,115,36,22.068076,0,0.33382680501338263,Michael Jackson,All The Things You Are
TRRGAEJ12903CA37B6,SOLJQGJ12AB01872F6,ARROWYU1187B9AB4BB,Big Bad Voodoo Daddy,Please Baby,Big Bad Voodoo Daddy,1998,299.07546,0.620995693213,0.521712405225,jazz,jazz; swing,141,37,32.588341,0,0.28407429500043724,Michael Jackson,All The Things You Are
TREUPHA128F4278F34,SOTLPVB12CF5CFD7F3,ARXPPEY1187FB51DF4,Michael Jackson,Baby Be Mine,Thriller,1982,260.33587,0.855245195586,0.899991594263,pop,pop; 80s; michael jackson; soul; funk,377,120,56.071383,0,0.26433981093943965,Michael Jackson,All The Things You Are
TRQYLYP12903CC26F6,SOFXBUV12AB0187A06,ARVT7941187B9AEB48,Barry White,Never Gonna Give You Up,A Portrait of Dionne & Barry (CD2),1995,290.01098,0.724093528768,0.541876865526,r&b/soul,soul; Disco; Love; sexy; smooth,442,97,70.270904,0,0.2669084762600574,John Mayer,Vultures
TRHQAPS128F42A51F4,SOSWVVV12A8C13C21C,AR6J3X81187FB59A7B,Matisyahu,Fire and Heights,Live at Stubb's,2005,260.15302,0.83059250647,0.639798164281,reggae,reggae; jewish reggae; jazz; instrumental; jewish american,621,190,71.386273,0,0.26158100130651957,John Mayer,Vultures
TRWMHCZ128F42AE295,SOPJZCC12A8C13FF7B,AR6J3X81187FB59A7B,Matisyahu,Jerusalem,Youth,2006,240.24771,0.83059250647,0.639798164281,reggae,reggae; jewish; Hip-Hop; Matisyahu; hasidic reggae,480,143,63.741666,0,0.2548344826639111,John Mayer,Vultures
TRDPECV128F425D06C,SOLHSUR12A8C1372D3,AR1XEHY1187B991393,Heatmiser,Half Right,Mic City Sons,1996,262.05995,0.600305147344,0.383726226385,rock,Damned interesting; modern rock; All time favourites; elliott; makes me okay,147,74,20.59126,0,0.2648186021700256,John Mayer,Out Of My Mind
TRIXRYP128F149B87C,SOKHRTV12A6D4FA277,ARDFA6F1187FB48C0F,Pop Levi,Hades Lady,The Return To Form Black Magick Party,2007,265.27302,0.644079826051,0.36359736824,rock,cwdb - indie; check out again; hey ladies; stomp; cool and cocky,134,35,31.272992,0,0.2465749977337049,John Mayer,Out Of My Mind
TRZJPEO128F42437AE,SOBGEIV12A58A7CC57,AR12UD81187B98CB39,Camper Van Beethoven,Sad Lover's Waltz,Popular Songs Of Great Enduring Strength And Beauty,2004,246.25587,0.623923654765,0.467253785037,rock,rock; country; folk; alternative; download,135,28,34.641016,0,0.24414805428864295,John Mayer,Out Of My Mind
TRCETEN128F42AD6D0,SOXSRBF12D021B1340,AR4KTMS1187B9B4873,Bowling For Soup,Here We Go,Goes To The Movies,2004,188.36853,0.790405558589,0.56193424678,punk,pop punk; The Good Stuff; Bowling For Soup; pra skit,374,92,98.863542,0,0.3014172856362297,R. Kelly,Hump Bounce
